,urn,author,title,year
0,2012062505011,"Thaugland, Calli",Fra litteraturhistoria,1985
1,2014013106097,"Vestly, Anne-Cath.",Knerten i Bessby,1965
2,2013102906120,"Vestly, Anne-Cath.",Kaos førskolegutt,1985
3,2012121106015,"Vestly, Anne-Cath.",Guro,1975
4,2008052300027,"Vestly, Anne-Cath.",Aurora og den vesle blå bilen,1968
5,2008052104045,"Lagerlöf, Selma",Nils Holgerssons forunderlige reise,1970
6,2007090604034,"Breen, Else",Slik skrev de,1988
7,2007050804047,"Vestly, Anne-Cath.",Trofaste Knerten,1963
8,2013070105108,"Vestly, Anne-Cath.","Åtte små, to store og en lastebil",1974
9,2007070500007,"Vestly, Anne-Cath.",Guro og Frydefoniorkesteret,1981
10,2007031401050,"Vestly, Anne-Cath.",liten takk fra Anton,1960
11,2015010808013,"Vestly, Anne-Cath.",Lillebror og Knerten,1990
12,2007062101032,"Vestly, Anne-Cath.",Guro og fiolinen,1978
13,2007061804087,"Hagemann, Sonja",Barnelitteratur i Norge 1914-1970,1974
14,2013011806050,"Vestly, Anne-Cath.",Lilla Olaug og Lubben,1983
15,2007072301006,"Vestly, Anne-Cath.",Aurora på hurtigruten,1971
16,2012091408165,"Vestly, Anne-Cath.",Mormor og de åtte ungene på sykkeltur i Danmark,1986
17,2007072600025,"Vestly, Anne-Cath.",Knerten gifter seg,1975
18,2007062900032,"Ørjasæter, Tordis",Barn og bøker,1978
19,2007030801075,"Sommerfelt, Aimée",Stopp tyven!,1961
